evidence_id,captured_at,source,asset,state,summary,limitation
EV-001,2026-08-24T08:21:07Z,Cloudflare Wrangler authenticated readback,Worker med250-marketplace-gikundiro,observed,"Current version 912982d3-c4eb-4a81-ab93-3640523c2e79 and eight secret names; no Meta runtime secret names present","Secret values were not read"
EV-002,2026-08-24T08:21:07Z,Meta WhatsApp Manager authenticated browser,WABA 1188521970082273 phone 900256399838407,observed,"+16622220600 connected; quality high; Ikanisa Service Center display name rejected","No physical-device send performed in this evidence item"
EV-003,2026-08-24T08:21:07Z,Meta for Developers authenticated browser,Business Portfolio 386355893848401,observed,"Nine administrator apps listed and none named MED250","App permissions and inactive app details were not opened"
EV-004,2026-08-24T08:21:07Z,Cloudflare and source inspection,MED250 production WhatsApp runtime,observed,"Only Twilio routes and credentials are active at baseline; direct Meta webhook and send runtime are absent","Remote provider traffic was not interrupted"
EV-005,2026-08-24T08:21:07Z,Codex task authorization,MED250 deployment policy,observed,"Product owner requires live production deployment with no staging","Risk is accepted only for this product workflow"
EV-006,2026-08-24T08:21:07Z,MED250 Worker source and D1 schema,Private R2 image and location workflow,inferred,"Private R2 retention metadata; saved locations; nearest-10 dispatch and audit tables exist","Current legal and privacy approval evidence was not verified"
EV-007,2026-08-24T08:50:45Z,Meta WhatsApp Manager authenticated browser,WABA 1188521970082273 templates,observed,"Image-request utility 1773644937239346 and OTP 2206355629937444 are Active - Quality pending; catalogue-order utility 1068627845813387 is In review","Provider send and physical-device delivery were not performed"
EV-008,2026-08-24T08:50:45Z,MED250 source and local test readback,Direct Meta Cloud API Worker runtime,observed,"TypeScript and focused tests pass for signed webhook, Meta send, native location, media capture, dispatch and provider boundaries","Local validation is not remote deployment or provider acceptance"
EV-009,2026-08-24T08:50:45Z,Meta for Developers and Business Settings authenticated browser,Dedicated MED250 app creation,observed,"App creation showed no selectable business; ownership inspection is waiting at administrator 2FA","No verification code was captured or entered by Codex"
EV-010,2026-08-24T11:08:05Z,Meta for Developers authenticated Chrome session,MED250 Service Center app creation,observed,"Final summary showed WhatsApp use case and verified Assigu ownership; Meta temporarily blocked the create action and produced no app ID","The provider did not disclose the restriction cause; listed Required Action is an unrelated Emateli renewal"
EV-011,2026-08-24T11:08:05Z,Meta Business Support Home authenticated Chrome session,Assigu portfolio and visible assets,observed,"Business Support Home reports no issues for the visible WhatsApp accounts and data sources and exposes no appeal control for the developer app-creation block","This does not prove that every portfolio asset is unrestricted or identify the duration of Meta's temporary block"
EV-012,2026-08-24T11:18:08Z,Meta for Developers authenticated Chrome and Computer Use,Existing IKANISA app 3769557166649385,observed,"IKANISA has the WhatsApp product and subscribed messages webhook but the From selector does not include +1 662-222-0600; its callback is a Supabase function and Business Settings shows no connected assets","Replacing this shared callback can interrupt unrelated IKANISA, ICUPA and Lifuti traffic; no callback, credential or asset was changed"
EV-013,2026-08-24T11:18:08Z,Meta Business Settings authenticated Chrome and Computer Use,Production WABA 1188521970082273,observed,"WABA easyMO contains +1 662-222-0600 with Ikanisa Service Center In Review, Connected and High; Jean Bosco and Bosco have full access and Twilio Inc has full-control partner access","The phone still does not appear in IKANISA API Setup and no provider or partner change was executed"
EV-014,2026-08-24T11:33:39Z,Meta for Developers and Business Settings authenticated Chrome and Computer Use,Existing Assigu-owned app comparison,observed,"IKANISA and Assigu subscribe messages to Supabase and show unrelated phones; empty ASSIGU 141 cannot add WhatsApp; ASSIGU 431 is Consumer; Emateli Vendor has WhatsApp with no connected assets or production phone and messages unsubscribed","Emateli Vendor still has Facebook Login and Instagram use cases, a Supabase callback, and Emateli-specific policy URLs; no live setting was changed"
